Absolute magnitude,Albedo,Number of observations,Observation arc length,Orbital eccentricity,Orbital inclination,Orbital period,Asteroid diameter,Asteroid class
13.6,0.096,1082,8888.0,0.1450376859577793,5.917611080223653,5.69993622448618,9.827,MBA
16.1,0.04,85,4883.0,0.0194592244277605,7.881049350239166,5.83700332535811,3.831,OMB
16.2,0.063,11,1.0,0.1171134321988707,15.69517573651233,5.546753229936,3.051,MBA
16.2,0.037,103,5985.0,0.3256125413188082,8.979627259655897,7.90744271835061,4.577,OMB
10.2,0.063,1145,9240.0,0.044825152503387,21.47845270390883,11.7242966259002,48.19,TJN
14.0,0.1,595,7434.0,0.1215522931217998,16.83243093307428,6.27325024450777,7.655,OMB
12.4,0.062,643,9218.0,0.0563740827793037,7.364587723019418,11.6999603003826,18.493,TJN
15.2,0.042,270,6295.0,0.2334466535373533,15.39541398652906,5.57560661575395,6.185,MBA
13.8,0.029,113,7938.0,0.184164254293354,10.73682868709323,11.994659307129,13.043,TJN
15.7,0.052,183,5738.0,0.0307562071616702,9.876829380523493,5.80526825283933,4.225,OMB
12.6,0.068,268,6730.0,0.0187300662773562,29.30315351742104,11.8911186425049,14.741,TJN
11.6,0.068,720,10048.0,0.1058820356659226,16.67985088519239,12.0132237545724,25.545,TJN
15.2,0.402,1126,9745.0,0.1265450370271824,3.752731034345787,4.09457186419174,2.002,MBA
15.4,0.259,794,6401.0,0.3140026966533067,4.807839917828937,4.12852042159584,2.495,MBA
12.5,0.054,246,6857.0,0.1427232990334313,25.00732382151953,11.8783213725839,19.748,TJN
14.5,0.08,536,7106.0,0.1706477910399557,18.78025823738252,5.74614264901886,5.921,OMB
13.3,0.032,168,6758.0,0.0162550326287,10.43533692162778,12.0296785957069,17.103,TJN
14.9,0.325,655,7149.0,0.0334133582500721,14.19507227207121,4.40864418928169,2.678,MBA
13.6,0.073,1280,9779.0,0.0739022982137316,9.656541372928938,4.85973002765268,10.291,MBA
13.5,0.041,96,5914.0,0.0866132768503115,24.69174412181421,11.6705660607662,12.516,TJN
14.7,0.399,1451,13886.0,0.1660181020071373,4.129923007091451,3.42505396134595,2.905,MBA
11.8,0.072,711,12075.0,0.063499421673925,10.08593786986476,11.6763828050249,22.617,TJN
15.9,0.045,177,7541.0,0.2078019593860338,9.377640424859214,5.72810558131285,4.771,OMB
12.9,0.132,316,9626.0,0.0308273257046467,6.377969258967028,11.7921251882248,12.117,TJN
14.0,0.081,679,7584.0,0.1766097087587223,16.16414187751854,5.65218931754591,8.511,MBA
11.5,0.074,921,10481.0,0.0513201345930969,15.12981260512104,11.6071106542269,26.904,TJN
14.2,0.107,1463,10275.0,0.0338104798140218,8.798732779383327,4.03201330496493,5.44,MBA
12.9,0.043,198,4764.0,0.0890512147324478,17.90292047788696,11.9945536525479,16.105,TJN
12.5,0.048,282,6843.0,0.0933500798027435,19.07675304769005,11.8868141790627,19.177,TJN
13.3,0.068,918,7389.0,0.1074639087616348,18.17475367859356,5.8056018684662,12.809,OMB
12.1,0.085,719,10049.0,0.0249699034815949,8.896425124640716,11.6980809183914,19.007,TJN
16.0,0.035,193,6264.0,0.0952634735361383,2.703412518365287,5.55689954111189,5.145,MBA
12.6,0.164,374,7568.0,0.1271422028588257,11.31640102848509,11.7862632644136,12.474,TJN
13.2,0.04,126,6460.0,0.0345615223845737,24.4127454029371,11.9106204750005,13.3,TJN
12.9,0.06,235,6849.0,0.0878268212424408,22.4083862825932,11.62577990811,14.986,TJN
12.6,0.046,1754,13788.0,0.0476939656405951,15.92639469800454,5.80983736487415,22.077,OMB
13.6,0.045,94,6347.0,0.024215037145049,30.41603153971761,11.7221146579455,11.424,TJN
16.4,0.086,497,6661.0,0.1012309624346266,3.158872603518945,3.60962632286109,2.602,MBA
13.7,0.059,69,4817.0,0.085008125821143,20.1243503334343,11.7986604258955,10.934,TJN
13.2,0.061,257,6803.0,0.0737956732091187,8.987682999031879,11.6221981005812,12.308,TJN
15.2,0.042,208,6302.0,0.0950346441860558,16.33339186995305,5.76046049650964,5.889,OMB
13.2,0.041,191,5965.0,0.0198645194319784,7.615166794396508,12.0860341603302,15.821,TJN
16.1,0.121,91,3195.0,0.0579992391838411,14.0690015537474,5.28689947131325,4.002,MBA
15.7,0.069,449,7364.0,0.1299896705814235,5.089486152186277,5.05312176480647,4.023,MBA
14.9,0.163,14,1.0,0.098991266640264,17.49975054020632,4.38120819496868,3.442,MBA
14.6,0.068,597,9752.0,0.0793623264929147,9.514507315132477,5.81301787579133,6.722,OMB
14.4,0.204,1188,9814.0,0.2411916386812108,9.087953760883654,4.10335128586227,3.38,MBA
15.2,0.041,320,4922.0,0.2474473110306888,26.14710166696222,5.75031896917846,6.901,OMB
13.9,0.085,53,2040.0,0.2426434575376891,6.730765222452104,12.0497159179798,9.113,TJN
11.4,0.129,1028,13591.0,0.0331570147234134,13.03466728712379,11.5818817607099,21.258,TJN
12.1,0.079,550,13119.0,0.1063377449064009,14.77931276633113,11.8509675676718,22.611,TJN
16.0,0.072,476,6569.0,0.0589920930612672,3.19305069153671,4.64322467510275,3.924,MBA
14.8,0.088,671,10809.0,0.2063421046823109,8.217537175149097,5.23692017614277,5.913,MBA
9.9,0.064,1934,11199.0,0.0591435009542631,6.98615278872947,12.0457917694587,54.964,TJN
12.6,0.062,470,8420.0,0.0352841623683801,11.3150255540072,11.897693271312,17.644,TJN
9.26,0.048,2549,39460.0,0.1165998246743518,8.321706980911387,6.69770772519972,74.791,OMB
13.4,0.093,78,6801.0,0.0619792094436303,24.49216257734438,12.1162143156991,10.956,TJN
14.8,0.04,799,21412.0,0.1281282250959677,4.886618106396451,4.68167796912057,6.352,MBA
17.0,0.047,136,4696.0,0.2269684993429869,11.81459108637266,4.46967215874846,2.442,MBA
12.5,0.153,535,21550.0,0.0675869084921804,1.205048722492357,12.3398653576996,11.77,TJN
12.4,0.123,186,7579.0,0.1041992269488897,23.781405029292,12.0766961862459,15.07,TJN
16.0,0.09,301,7595.0,0.087255202960301,10.93742885185443,4.30604530799738,2.792,MBA
15.0,0.278,490,7563.0,0.0372483792319465,14.12273905328436,4.44294695857357,2.64,MBA
13.7,0.067,913,7443.0,0.1835193485757398,8.820704924902243,6.17398432207571,10.76,OMB
9.1,0.085,1501,16037.0,0.1360376725458584,28.46587898247833,11.9143751303127,72.331,TJN
12.3,0.073,456,6466.0,0.1384001527806202,20.932212356672,11.8423793096388,18.738,TJN
15.0,0.078,376,21322.0,0.0391196499335267,2.987731094422969,6.25529488595979,4.969,OMB
15.7,0.161,330,6185.0,0.2595260965411184,6.467107759563186,4.3524502051722,2.633,MBA
14.1,0.103,1208,9837.0,0.2801896713643183,11.00337762023694,4.14466910428391,6.27,MBA
15.8,0.027,131,5254.0,0.0762563741262269,9.843974467171094,6.1371627729665,3.392,OMB
14.3,0.204,704,8429.0,0.0704199130820389,10.97673750156175,5.82726637751448,3.707,OMB
9.3,0.071,1549,24362.0,0.0741218361593631,13.91233307537793,11.6197423923831,65.916,TJN
13.2,0.065,188,7967.0,0.0539855130213493,4.242768318692673,12.0900432281955,12.553,TJN
14.4,0.156,749,7625.0,0.0946661185235176,10.33534437031794,5.3917676904171,5.097,MBA
12.1,0.093,714,9198.0,0.0779925722728028,2.374210061077346,12.1722951819294,16.585,TJN
14.9,0.215,1459,10401.0,0.1693793486573127,5.213589021366099,3.3710395610267,2.863,MBA
13.5,0.05,111,8807.0,0.0791337241949729,17.67559959755358,11.6896496056865,11.869,TJN
12.2,0.085,714,9564.0,0.0694824586791256,4.44244975428786,12.2864547582308,18.14,TJN
17.2,0.035,276,6275.0,0.2827063133263025,2.684415501821693,4.06005030205109,2.81,MBA
13.6,0.153,828,13079.0,0.3739173297288662,20.96923376115393,6.03901406852409,6.479,OMB
16.2,0.168,773,7381.0,0.1471551432551308,3.169738552291417,3.20864526189025,1.951,MBA
14.8,0.056,487,7236.0,0.0902112617369988,15.43791261871046,5.30565745061437,7.096,MBA
13.3,0.049,131,7596.0,0.1301138866896792,19.27833005276481,11.5581249422841,13.138,TJN
15.4,0.1,134,4910.0,0.0897040138944124,10.02288405412861,5.79175085025878,4.835,OMB
15.7,0.052,151,4033.0,0.2137298992875974,27.32794487749945,5.42461272532819,4.437,MBA
12.6,0.111,341,7608.0,0.0525790925921267,13.67826280198381,11.9381954372527,13.234,TJN
15.1,0.071,787,7763.0,0.1839376810380189,13.0037210809076,4.19504502901522,5.065,MBA
15.4,0.027,345,6350.0,0.0416371528653837,7.355214969598825,5.27725189923453,6.171,MBA
14.7,0.27,1370,8626.0,0.0612021796776861,3.019982971698064,3.59955220206742,3.371,MBA
10.1,0.103,840,15232.0,0.1049508348354526,29.56240160747581,11.700434258677,39.487,TJN
14.2,0.051,985,8507.0,0.1430421545903889,5.920912139256522,5.64788942316217,8.105,MBA
13.2,0.059,202,8371.0,0.0679176917506728,6.754236847506708,12.0460839399781,11.96,TJN
13.0,0.079,211,6352.0,0.1239012967912233,4.384548110773261,11.8885423157658,11.896,TJN
17.2,0.051,118,9242.0,0.161153001219611,4.546905268497586,4.09935063246526,2.039,MBA
12.8,0.055,217,7169.0,0.1149868490068738,15.28292832055696,11.8997716296503,16.271,TJN
15.4,0.172,127,4406.0,0.0575699586607022,12.0206560631427,5.85227677211847,5.824,OMB
14.4,0.074,423,6210.0,0.0709506449820283,22.63241076307796,5.79121377319756,7.403,OMB
16.6,0.086,119,8604.0,0.1179608599713177,15.30407747755851,4.15634420170864,3.274,MBA
14.0,0.105,1036,7560.0,0.1149523770298662,2.756091103543271,5.73294373012344,7.117,OMB
14.0,0.057,895,9399.0,0.1078233497295587,5.13039227591233,5.66777663488252,8.421,MBA
9.02,0.164,2695,45508.0,0.1119085143551487,11.8312302664797,4.09317654026577,55.421,MBA
15.6,0.395,854,10339.0,0.1070745465355585,5.096700519193448,3.42839078826881,1.679,MBA
11.6,0.052,901,10407.0,0.0732998273393333,7.753497922518418,11.8187624329295,29.196,TJN
13.3,0.068,211,6801.0,0.0811350656216746,9.293964374422153,11.7771620626278,11.702,TJN
9.7,0.058,1580,23599.0,0.1241296385280427,16.25237357728057,11.6262692584309,63.191,TJN
12.8,0.098,297,6404.0,0.0546292051729071,15.01977985388324,11.7552491116149,12.224,TJN
